service_provider,model_publisher_or_namespace,joint_fractional_share,model_share_within_service,service_share_within_model
Anthropic,namespace:answerdotai,0.005050505050505051,0.6666666666666667,0.5
Anthropic,namespace:towardsai-tutors,0.0025252525252525255,0.33333333333333337,0.25
Cohere,Alibaba,0.0025252525252525255,0.19999999999999998,0.021428571428571432
Cohere,Black Forest Labs,0.0025252525252525255,0.19999999999999998,1.0
Cohere,namespace:CohereLabs,0.0025252525252525255,0.19999999999999998,1.0
Cohere,namespace:openbmb,0.0025252525252525255,0.19999999999999998,1.0
Cohere,namespace:towardsai-tutors,0.0025252525252525255,0.19999999999999998,0.25
Fireworks AI,Meta,0.010101010101010102,1.0,0.08759124087591243
Google,Alibaba,0.005050505050505051,0.03921568627450981,0.042857142857142864
Google,BAAI,0.005050505050505051,0.03921568627450981,0.33333333333333337
Google,Google,0.005050505050505051,0.03921568627450981,0.09677419354838711
Google,Meta,0.005050505050505051,0.03921568627450981,0.04379562043795621
Google,Mistral AI,0.010101010101010102,0.07843137254901962,0.05128205128205128
Google,namespace:answerdotai,0.005050505050505051,0.03921568627450981,0.5
Google,namespace:cross-encoder,0.005050505050505051,0.03921568627450981,1.0
Google,namespace:distil-whisper,0.005050505050505051,0.03921568627450981,1.0
Google,namespace:models,0.020202020202020204,0.15686274509803924,1.0
Google,namespace:sentence-transformers,0.05555555555555555,0.4313725490196078,0.37931034482758613
Google,namespace:towardsai-tutors,0.0025252525252525255,0.019607843137254905,0.25
Google,OpenAI,0.005050505050505051,0.03921568627450981,0.028708133971291863
Groq,Alibaba,0.02104377104377104,0.13020833333333331,0.17857142857142858
Groq,BAAI,0.010101010101010102,0.0625,0.6666666666666667
Groq,Meta,0.0058922558922558915,0.03645833333333333,0.051094890510948905
Groq,Moonshot AI,0.0025252525252525255,0.015625,1.0
Groq,namespace:canopylabs,0.010101010101010102,0.0625,1.0
Groq,namespace:sentence-transformers,0.07575757575757576,0.46875,0.5172413793103448
Groq,OpenAI,0.03619528619528619,0.2239583333333333,0.2057416267942583
Hugging Face,Alibaba,0.07912457912457913,0.14779874213836477,0.6714285714285715
Hugging Face,DeepSeek,0.020202020202020204,0.03773584905660378,1.0
Hugging Face,Google,0.03872053872053872,0.07232704402515723,0.7419354838709677
Hugging Face,Meta,0.05808080808080808,0.10849056603773585,0.5036496350364964
Hugging Face,Microsoft,0.010101010101010102,0.01886792452830189,1.0
Hugging Face,Mistral AI,0.17424242424242425,0.3254716981132076,0.8846153846153846
Hugging Face,namespace:koshkosh,0.010101010101010102,0.01886792452830189,1.0
Hugging Face,namespace:Salesforce,0.003367003367003367,0.006289308176100628,1.0
Hugging Face,namespace:sentence-transformers,0.010101010101010102,0.01886792452830189,0.06896551724137931
Hugging Face,OpenAI,0.13131313131313133,0.24528301886792456,0.7464114832535884
OpenAI,Meta,0.012626262626262626,0.16129032258064516,0.10948905109489052
OpenAI,Mistral AI,0.007575757575757576,0.0967741935483871,0.03846153846153846
OpenAI,namespace:AdamCodd,0.010101010101010102,0.12903225806451613,1.0
OpenAI,namespace:deepseek,0.005050505050505051,0.06451612903225806,0.25
OpenAI,namespace:HuggingFaceTB,0.010101010101010102,0.12903225806451613,1.0
OpenAI,namespace:jaiganesan,0.020202020202020204,0.25806451612903225,1.0
OpenAI,namespace:sentence-transformers,0.005050505050505051,0.06451612903225806,0.034482758620689655
OpenAI,namespace:TheBloke,0.005050505050505051,0.06451612903225806,1.0
OpenAI,namespace:towardsai-tutors,0.0025252525252525255,0.03225806451612903,0.25
OpenRouter,Alibaba,0.010101010101010102,0.18181818181818182,0.08571428571428573
OpenRouter,Google,0.008417508417508417,0.1515151515151515,0.16129032258064516
OpenRouter,Meta,0.013468013468013467,0.2424242424242424,0.11678832116788322
OpenRouter,Mistral AI,0.005050505050505051,0.09090909090909091,0.02564102564102564
OpenRouter,namespace:deepseek,0.015151515151515152,0.2727272727272727,0.75
OpenRouter,OpenAI,0.003367003367003367,0.0606060606060606,0.01913875598086124
Together AI,Meta,0.010101010101010102,1.0,0.08759124087591243
