metric,metric_type,matched_value,nonmatched_value,difference,standardized_difference,matched_n,nonmatched_n
created_age_days,continuous_mean,322.3156016180322,313.935002067758,8.380599550274212,0.034353559842716694,99,431
log1p_likes,continuous_mean,0.14756904349775415,0.1768874488650817,-0.02931840536732755,-0.06898448972486067,99,431
modified_within_180_days,binary_share,0.35353535353535354,0.4408352668213457,-0.08729991328599218,-0.17912665951782028,99,431
runtime_running,binary_share,0.09090909090909091,0.0765661252900232,0.014342965619067713,0.05179816281716542,99,431
likes_ge_1,binary_share,0.16161616161616163,0.19953596287703015,-0.037919801260868524,-0.09869833457711379,99,431
sdk=docker,binary_share,0.2222222222222222,0.12064965197215777,0.10157257025006444,0.2719829197090032,99,431
sdk=gradio,binary_share,0.6464646464646465,0.62877030162413,0.017694344840516574,0.03681665510923968,99,431
sdk=static,binary_share,0.030303030303030304,0.048723897911832945,-0.01842086760880264,-0.09466246449033373,99,431
sdk=streamlit,binary_share,0.10101010101010101,0.19721577726218098,-0.09620567625207997,-0.27258612650747194,99,431
sdk=unreported,binary_share,0.0,0.004640371229698376,-0.004640371229698376,-0.09656090991705352,99,431
construct=course_generation,binary_share,0.0,0.009280742459396751,-0.009280742459396751,-0.13687718216583097,99,431
construct=education_app,binary_share,0.1111111111111111,0.05336426914153132,0.057746841969579785,0.2113681654967368,99,431
construct=exam_support,binary_share,0.0,0.002320185614849188,-0.002320185614849188,-0.06819943394704735,99,431
construct=grading_support,binary_share,0.0,0.004640371229698376,-0.004640371229698376,-0.09656090991705352,99,431
construct=homework_support,binary_share,0.0,0.002320185614849188,-0.002320185614849188,-0.06819943394704735,99,431
construct=language_learning,binary_share,0.08080808080808081,0.048723897911832945,0.03208418289624787,0.13064172052023598,99,431
construct=lesson_planning,binary_share,0.030303030303030304,0.018561484918793503,0.011741545384236801,0.07610776505221895,99,431
construct=quiz_generation,binary_share,0.24242424242424243,0.1531322505800464,0.08929199184419603,0.22559076980080356,99,431
construct=socratic_tutor,binary_share,0.030303030303030304,0.027842227378190254,0.00246080292484005,0.014647144178286074,99,431
construct=study_material_generation,binary_share,0.0,0.002320185614849188,-0.002320185614849188,-0.06819943394704735,99,431
construct=study_support,binary_share,0.15151515151515152,0.32018561484918795,-0.16867046333403643,-0.4053916160778503,99,431
construct=teaching_assistant,binary_share,0.08080808080808081,0.09048723897911833,-0.00967915817103751,-0.034592981908281646,99,431
construct=tutor,binary_share,0.47474747474747475,0.37819025522041766,0.09655721952705709,0.19617415482387873,99,431
