model_family,project_count,fractional_weight,fractional_share
T5/FLAN-T5,42,33.45238095238095,0.16895141895141894
Mistral/Mixtral,29,26.5,0.13383838383838384
gpt,26,20.535714285714285,0.1037157287157287
Llama,25,20.416666666666668,0.10311447811447812
MiniLM,24,19.166666666666668,0.0968013468013468
Qwen,17,13.666666666666666,0.06902356902356901
DeepSeek,5,5.0,0.025252525252525252
gpt2,5,4.333333333333333,0.021885521885521883
Gemma,5,3.6666666666666665,0.018518518518518517
bart,5,3.1666666666666665,0.015993265993265993
Phi,3,3.0,0.015151515151515152
ai,3,3.0,0.015151515151515152
gemini,3,3.0,0.015151515151515152
distilbert,4,2.6666666666666665,0.013468013468013467
bge,3,2.0,0.010101010101010102
distilbart,4,1.6666666666666665,0.008417508417508417
DialoGPT,2,1.5,0.007575757575757576
ms,2,1.5,0.007575757575757576
nllb,2,1.5,0.007575757575757576
distilgpt2,2,1.3333333333333333,0.006734006734006734
SmolVLM,2,1.0,0.005050505050505051
Whisper,2,1.0,0.005050505050505051
YOLO11,2,1.0,0.005050505050505051
BERT,1,1.0,0.005050505050505051
Falcon,1,1.0,0.005050505050505051
LFM2,1,1.0,0.005050505050505051
ModernBERT,1,1.0,0.005050505050505051
SmolLM,1,1.0,0.005050505050505051
SmolLM2,1,1.0,0.005050505050505051
Stable Diffusion,1,1.0,0.005050505050505051
assets,1,1.0,0.005050505050505051
biblical,1,1.0,0.005050505050505051
blenderbot,1,1.0,0.005050505050505051
mt5,1,1.0,0.005050505050505051
orpheus,1,1.0,0.005050505050505051
quiz,1,1.0,0.005050505050505051
smm2,1,1.0,0.005050505050505051
vicuna,1,1.0,0.005050505050505051
TinyLlama,2,0.8333333333333333,0.004208754208754209
Bielik,1,0.5,0.0025252525252525255
Solon,1,0.5,0.0025252525252525255
afriberta,1,0.5,0.0025252525252525255
all,1,0.5,0.0025252525252525255
blip2,1,0.5,0.0025252525252525255
english,1,0.5,0.0025252525252525255
mT5,1,0.5,0.0025252525252525255
mxbai,1,0.5,0.0025252525252525255
sentence,1,0.5,0.0025252525252525255
trocr,1,0.5,0.0025252525252525255
blip,1,0.3333333333333333,0.0016835016835016834
codegen,1,0.3333333333333333,0.0016835016835016834
BLOOM,2,0.2857142857142857,0.001443001443001443
GPT,2,0.2857142857142857,0.001443001443001443
e5,2,0.2857142857142857,0.001443001443001443
flan,2,0.2857142857142857,0.001443001443001443
oasst,2,0.2857142857142857,0.001443001443001443
FLUX.1,1,0.25,0.0012626262626262627
Kimi,1,0.25,0.0012626262626262627
MiniCPM,1,0.25,0.0012626262626262627
tiny,1,0.25,0.0012626262626262627
