space_id,runtime_stage,disabled,last_modified,last_modified_age_days
10805j/aitutor,RUNTIME_ERROR,False,2025-05-31T02:43:31.000Z,456.8864467592593
13yashjadhav11/study_assistant,SLEEPING,False,2026-01-16T07:26:13.000Z,226.69012731481482
24-cka-ML/quiz-generator,RUNTIME_ERROR,False,2025-03-20T08:55:47.000Z,528.6279282407407
3atar/Study-assistant,RUNTIME_ERROR,False,2025-11-26T02:41:40.000Z,277.88773148148147
77skaul/edu-tutor-chatbot,SLEEPING,False,2026-02-04T11:41:26.000Z,207.51289351851852
aakashdevdat/Quiz_generator_1,CONFIG_ERROR,False,2025-05-11T05:11:52.000Z,476.78342592592594
Aasher/Flexx_Your_Homework_Assistant,RUNTIME_ERROR,False,2025-09-05T08:14:16.000Z,359.6567592592593
aazankhanYousafzai/Ai_Study_Assistant,RUNNING,False,2026-04-23T18:30:55.000Z,129.2285300925926
abai-cn/linux-teaching-assistant,SLEEPING,False,2026-06-26T02:00:36.000Z,65.91625
Abdalaziz2026/Syria-ai-tutor,SLEEPING,False,2026-06-03T23:24:49.000Z,88.02443287037038
Abde1ra7man/Quiz_Generator,SLEEPING,False,2026-04-23T14:28:49.000Z,129.3966550925926
Abdelrahman04/egyptian-educational-chatbot-demo,RUNTIME_ERROR,False,2025-12-16T07:07:29.000Z,257.70313657407405
abdullahkhankakar/quiz-generator,SLEEPING,False,2026-07-28T19:38:36.000Z,33.18152777777778
abhey-patel/quiz-generator-space,SLEEPING,False,2025-09-03T12:47:49.000Z,361.4667939814815
Abhinaychatla/language_voice_tutor,RUNTIME_ERROR,False,2026-06-21T17:08:03.000Z,70.28607638888889
AbhiReddy1/AI_datascince_Tutor,SLEEPING,False,2025-03-21T09:54:45.000Z,527.5869791666667
ABRB0917/StudyAssistant,SLEEPING,False,2026-06-18T14:14:45.000Z,73.40642361111111
abubakaraabi786/programming-tutor-chatbot,SLEEPING,False,2025-12-20T13:53:18.000Z,253.42131944444444
Achyutar/Engross-Educational-AI,SLEEPING,False,2025-02-17T16:28:55.000Z,559.3132523148148
adil1598/edubot-ai-latex-learning-companion,RUNNING,False,2025-10-26T10:49:43.000Z,308.54880787037035
Aditya1546/ai-study-assistant,RUNTIME_ERROR,False,2026-07-08T10:55:32.000Z,53.54476851851852
AdityaKokate/StudyAssistant,SLEEPING,False,2026-07-30T14:45:02.000Z,31.38539351851852
adriiita/TeachingAssistant,BUILD_ERROR,False,2024-11-20T18:57:57.000Z,648.2097569444444
Agents-MCP-Hackathon/AI-Quiz-Generator,PAUSED,False,2025-06-07T10:29:52.000Z,449.5625925925926
Agents-MCP-Hackathon/AI-Tutor-and-Syllabus-Planner,SLEEPING,False,2025-08-27T15:21:35.000Z,368.36001157407406
Agents-MCP-Hackathon/AI_tutor,RUNTIME_ERROR,False,2025-06-10T22:34:10.000Z,446.05960648148147
ajmalllllllll/loksewaai-pal-your-study-buddy-assistant,RUNNING,False,2025-10-26T06:23:31.000Z,308.73366898148146
Akash035/my_study_assistant,RUNTIME_ERROR,False,2026-03-07T10:33:41.000Z,176.55994212962963
akhileshjethi/Study-assistant-ai,RUNTIME_ERROR,False,2025-09-30T06:31:52.000Z,334.7278703703704
akshay0149/TeachingAssistant,SLEEPING,False,2026-07-04T08:18:38.000Z,57.65372685185185
Aleesha29/socratic_tutor,SLEEPING,False,2026-05-09T11:54:56.000Z,113.50351851851852
alusinebarrie/ai-teaching-assistant,SLEEPING,False,2024-07-20T20:21:28.000Z,771.1517592592593
alusinebarrie/your-ai-teaching-assistant,SLEEPING,False,2024-07-22T10:32:31.000Z,769.5607523148149
amalrajmp/StudyAssistant,SLEEPING,False,2026-08-17T05:36:26.000Z,13.76636574074074
aman7935/Quiz_generator,SLEEPING,False,2025-11-04T09:02:26.000Z,299.6233101851852
AneelaFatima/AI_Friendly_Study_Tutor,SLEEPING,False,2025-08-21T06:05:19.000Z,374.74630787037034
Anil3920/StudyAssistant,RUNNING,False,2026-07-31T06:46:24.000Z,30.717777777777776
Anilkumar12/StudyAssistant,RUNTIME_ERROR,False,2026-07-31T06:30:35.000Z,30.728761574074074
anir-1995/AI_Quiz_Generator,SLEEPING,False,2026-03-06T11:54:30.000Z,177.50381944444445
AnishaG0201/maths_quiz_generator,BUILD_ERROR,False,2024-05-31T12:45:56.000Z,821.4681018518519
ankittumu/Ace-Study-Assistant,RUNTIME_ERROR,False,2025-09-25T20:09:07.000Z,339.16033564814813
Anmol2006/AI_Study_Assistant,SLEEPING,False,2026-02-09T11:36:32.000Z,202.5162962962963
antedotee/teachingAssistant,SLEEPING,False,2024-02-23T18:29:22.000Z,919.2296064814815
Anupam251272/Education-Chatbot-Anupam,BUILD_ERROR,False,2025-01-24T14:03:29.000Z,583.4142476851852
Apoorvahu/my-study-assistant,SLEEPING,False,2026-07-04T03:40:23.000Z,57.84695601851852
appcreator199/studyassistant,RUNTIME_ERROR,False,2025-06-19T03:00:05.000Z,437.87494212962963
Archimagos/ai_tutor,SLEEPING,False,2024-11-25T12:55:04.000Z,643.4617592592592
Archimagos/ai_tutor_3.2,SLEEPING,False,2024-11-25T19:16:52.000Z,643.1966203703704
arjunjuneja/socratic-tutor,SLEEPING,False,2026-04-08T20:01:36.000Z,144.16555555555556
arjunnnnn0720/StudyAssistant,RUNTIME_ERROR,False,2026-08-24T11:24:32.000Z,6.524629629629629
arkiitkgp/AITutor,RUNTIME_ERROR,False,2024-02-08T02:29:09.000Z,934.8964236111111
Arko3910/Study_Assistant,SLEEPING,False,2025-11-29T16:06:08.000Z,274.3290740740741
Armour-12/Quiz-generator-t5base,SLEEPING,False,2026-03-12T10:41:33.000Z,171.55447916666665
Armour-12/Quiz_Generator,BUILD_ERROR,False,2024-03-14T08:16:11.000Z,899.6554282407408
ARNABMAJI1234/interactive-study-assistant-demo,RUNTIME_ERROR,False,2026-08-01T14:19:36.000Z,29.403055555555557
arsalan16/Quiz-Generator-App,BUILD_ERROR,False,2024-12-16T18:07:26.000Z,622.244837962963
Artykun/Ai-Quiz-Generator,SLEEPING,False,2026-05-11T15:20:28.000Z,111.36078703703704
arumugam-rockstar/Myfirst-AITutor,PAUSED,False,2026-08-03T11:41:21.000Z,27.51295138888889
asad9641/AI-Study-Assistant-Ragbase,SLEEPING,False,2025-11-18T17:42:21.000Z,285.26225694444446
Ashwand5/AI_Educational_Assistant,RUNTIME_ERROR,False,2025-09-03T10:28:21.000Z,361.56364583333334
Asif1karim/Study_Assistant,SLEEPING,False,2025-08-04T07:58:00.000Z,391.66805555555555
