analysis,provider,project_count,fractional_weight,fractional_share
combined_primary,Google,229,195.90238095238095,0.38262183779761905
combined_primary,Groq,93,77.16666666666667,0.15071614583333334
combined_primary,User-managed runtime,128,61.86904761904762,0.12083798363095238
combined_primary,OpenAI,76,53.916666666666664,0.10530598958333333
combined_primary,Hugging Face,55,26.083333333333332,0.050944010416666664
combined_primary,Mistral AI,29,13.25,0.02587890625
combined_primary,namespace:sentence-transformers,25,10.75,0.02099609375
combined_primary,Meta,24,10.583333333333334,0.020670572916666668
combined_primary,Alibaba,16,7.0,0.013671875
combined_primary,OpenRouter,11,5.783333333333333,0.011295572916666666
combined_primary,DeepSeek,7,4.533333333333333,0.008854166666666666
combined_primary,namespace:facebook,8,3.1666666666666665,0.006184895833333333
combined_primary,Microsoft,6,2.6666666666666665,0.005208333333333333
combined_primary,namespace:valhalla,6,2.4166666666666665,0.004720052083333333
combined_primary,namespace:distilbert,6,2.25,0.00439453125
combined_primary,namespace:openai-community,5,2.25,0.00439453125
combined_primary,namespace:HuggingFaceTB,4,2.1666666666666665,0.004231770833333333
combined_primary,namespace:google-t5,5,2.0,0.00390625
combined_primary,Together AI,3,1.6666666666666665,0.003255208333333333
combined_primary,Cohere,5,1.3666666666666667,0.0026692708333333334
combined_primary,BAAI,3,1.25,0.00244140625
combined_primary,namespace:sshleifer,4,1.1666666666666665,0.002278645833333333
combined_primary,EleutherAI,4,1.0357142857142856,0.002022879464285714
combined_primary,namespace:jaiganesan,2,1.0,0.001953125
combined_primary,namespace:mrm8488,2,1.0,0.001953125
combined_primary,namespace:3morg,1,1.0,0.001953125
combined_primary,Anthropic,4,0.95,0.00185546875
combined_primary,namespace:Salesforce,3,0.8333333333333333,0.0016276041666666665
combined_primary,namespace:models,2,0.8333333333333333,0.0016276041666666665
combined_primary,namespace:cross-encoder,2,0.75,0.00146484375
combined_primary,namespace:AdamCodd,2,0.6666666666666666,0.0013020833333333333
combined_primary,namespace:deepseek,2,0.6666666666666666,0.0013020833333333333
combined_primary,namespace:TheBloke,2,0.5833333333333333,0.0011393229166666665
combined_primary,Fireworks AI,1,0.5,0.0009765625
combined_primary,TII,1,0.5,0.0009765625
combined_primary,namespace:Abdelrahman04,1,0.5,0.0009765625
combined_primary,namespace:LiquidAI,1,0.5,0.0009765625
combined_primary,namespace:LoveJesus,1,0.5,0.0009765625
combined_primary,namespace:akhooli,1,0.5,0.0009765625
combined_primary,namespace:bielik-chatbot-devteam,1,0.5,0.0009765625
combined_primary,namespace:canopylabs,1,0.5,0.0009765625
combined_primary,namespace:danrdoran,1,0.5,0.0009765625
