analysis,layers,weighting,projects,providers,hhi,effective_number,top1_share,top3_share,gini,hhi_ci_low,hhi_ci_high
combined_primary,inference_service;local_runtime;model_dependency,project_equal,512,70,0.19957230583069827,5.01071526852189,0.38262183779761905,0.6541759672619047,0.8712929156037413,0.17777932852033587,0.2269602207532005
provider_only_primary,inference_service;model_dependency,project_equal,499,69,0.2170673187836372,4.606865766821188,0.4156312625250501,0.6863727454909819,0.8502405777739054,0.19164838595025732,0.25042158130556375
inference_service_primary,inference_service,project_equal,400,10,0.3075037152777778,3.251993229079097,0.4740416666666667,0.8294583333333334,0.6779916666666667,0.27973366579861103,0.34171228385416674
model_provider_primary,model_dependency,project_equal,198,62,0.07316890850140008,13.66700720950163,0.13468013468013468,0.3678451178451178,0.6914711632453568,0.06414120157807025,0.09127053716174087
combined_broad,inference_service;local_runtime;model_dependency,project_equal,519,70,0.19670230421285695,5.083824533737402,0.3784246261124874,0.6511331314799523,0.8699238462244243,0.1750917392355324,0.22241312556265588
combined_clone_adjusted,inference_service;local_runtime;model_dependency,source_cluster_weight,512,70,0.19485809786852698,5.131939657312634,0.3724686976239771,0.6561865325840481,0.8685607244968376,,
combined_near_duplicate_090,inference_service;local_runtime;model_dependency,source_similarity_cluster_weight,512,70,0.17455059552114374,5.728997927588666,0.3328527234559717,0.6428129488454315,0.8608190097384659,,
combined_likes_weighted,inference_service;local_runtime;model_dependency,likes_weight,512,70,0.17653691820767747,5.6645375378287905,0.34408517865307986,0.6388790907309425,0.8563818668756938,,
combined_likes_arm,inference_service;local_runtime;model_dependency,project_equal,386,70,0.1505214798564956,6.643570080186439,0.27997162595608194,0.5974216629657044,0.8474510944274081,0.13542731252612722,0.1693709597961935
combined_recent_arm,inference_service;local_runtime;model_dependency,project_equal,343,56,0.2074012090308446,4.8215726642715975,0.39524503679022627,0.667700957934194,0.8483075008429029,0.1814267103134465,0.24112408393773407
combined_high_confidence,inference_service;local_runtime;model_dependency,project_equal,510,63,0.20310037348272644,4.92367386062463,0.3854295051353875,0.6615452847805788,0.8680332873890296,0.1817144972858425,0.23016103868017793
model_provider_hf_linked_only,model_dependency,project_equal,182,55,0.07786440513088866,12.842838756926454,0.14102564102564102,0.3836996336996337,0.6935564435564434,0.06874153014262903,0.09792341739457128
