excluded_query,candidate_union,analysis,strict_projects_in_frame,projects,providers,hhi,effective_number,top1_share,top3_share,gini,top_provider
ai tutor,572,combined,381,373,56.0,0.19387462098381458,5.157972688356584,0.3672539256989659,0.6709689774032938,0.8444050810672796,Google
ai tutor,572,provider_only,381,362,55.0,0.21284808495195845,4.698186503419602,0.4064917127071823,0.682780847145488,0.8198610413527545,Google
ai tutor,572,inference_service,381,283,9.0,0.3026596799948946,3.3040410272583,0.4580094228504123,0.8419905771495879,0.6445753173668368,Google
ai tutor,572,model_provider,381,147,49.0,0.07462811277194173,13.399776074412197,0.1655328798185941,0.37585034013605445,0.642070433615623,Google
ai tutor,572,matched_service_minus_model,381,68,,0.21222005959246448,,,,,not_applicable
socratic tutor,751,combined,521,503,70.0,0.201923258015729,4.952376510892589,0.38747988260910726,0.6529584398371675,0.8705425947715069,Google
socratic tutor,751,provider_only,521,490,69.0,0.21898859965755008,4.566447758302394,0.4191836734693878,0.6877551020408164,0.8490279010154788,Google
socratic tutor,751,inference_service,521,395,10.0,0.31023400808275026,3.2233732406708455,0.480042194092827,0.8272995780590717,0.6782194092827004,Google
socratic tutor,751,model_provider,521,192,62.0,0.07093227056809416,14.097955584828087,0.1328125,0.3624131944444444,0.6845738127240143,Mistral AI
socratic tutor,751,matched_service_minus_model,521,97,,0.21500543215124995,,,,,not_applicable
tutor chatbot,736,combined,503,485,63.0,0.2049881977235575,4.87832963607289,0.39017673048600887,0.6613843888070693,0.8656968308514699,Google
tutor chatbot,736,provider_only,503,472,62.0,0.22312198013422074,4.481853376338997,0.42291666666666666,0.6930084745762712,0.8448377984326592,Google
tutor chatbot,736,inference_service,503,382,10.0,0.314662731589351,3.1780058443814854,0.48263525305410127,0.8390924956369983,0.6844153577661432,Google
tutor chatbot,736,model_provider,503,181,55.0,0.07332863601368833,13.637237160845716,0.13259668508287292,0.3660220994475138,0.6804620793571069,Google
tutor chatbot,736,matched_service_minus_model,503,91,,0.2471571468824216,,,,,not_applicable
education chatbot,747,combined,517,499,70.0,0.20273466422618427,4.932555583510541,0.3885819257562744,0.6555205649394027,0.87079233296525,Google
education chatbot,747,provider_only,517,486,69.0,0.21978891589094549,4.549819975890769,0.4205761316872428,0.687928669410151,0.8490656249378742,Google
education chatbot,747,inference_service,517,390,10.0,0.3137203228869896,3.1875525015324766,0.48363247863247866,0.8302136752136753,0.6827863247863248,Google
education chatbot,747,model_provider,517,191,62.0,0.07175005863021544,13.937270841181991,0.1387434554973822,0.37085514834205935,0.6856246129595226,Mistral AI
education chatbot,747,matched_service_minus_model,517,95,,0.21757925515543244,,,,,not_applicable
educational chatbot,753,combined,522,504,69.0,0.20148351797362096,4.963185128278949,0.3857190098261527,0.6566232048374906,0.8711399213469605,Google
educational chatbot,753,provider_only,522,491,68.0,0.21976450284805157,4.55032540305845,0.41934826883910387,0.6883910386965376,0.8510063495866779,Google
educational chatbot,753,inference_service,522,394,10.0,0.3090563901271469,3.2356554724158797,0.4761844331641286,0.830668358714044,0.6795431472081219,Google
educational chatbot,753,model_provider,522,194,61.0,0.07403409560586198,13.507290010318172,0.13745704467353953,0.3741408934707904,0.69128499802828,Google
educational chatbot,753,matched_service_minus_model,522,97,,0.2169184941132013,,,,,not_applicable
educational ai,752,combined,525,507,69.0,0.20258651506565334,4.936162703997966,0.38639522870292103,0.6583262890955198,0.8704886591174216,Google
educational ai,752,provider_only,525,494,68.0,0.2208323202769718,4.528322660133183,0.41983805668016194,0.6925101214574898,0.8491634913074544,Google
educational ai,752,inference_service,525,396,10.0,0.31175046622226754,3.20769367923586,0.47882996632996633,0.8327861952861954,0.6813047138047138,Google
educational ai,752,model_provider,525,194,61.0,0.07215756781332293,13.858560235664752,0.13745704467353953,0.3651202749140894,0.6843839783674159,Google
educational ai,752,matched_service_minus_model,525,96,,0.22158323688271597,,,,,not_applicable
quiz generator,650,combined,442,428,62.0,0.23153057269505756,4.319084034388288,0.42987316421895866,0.6827937249666223,0.8736442496805773,Google
quiz generator,650,provider_only,442,420,61.0,0.2511039399092969,3.9824146142876824,0.45769841269841266,0.7238095238095238,0.8581720010408536,Google
quiz generator,650,inference_service,442,351,10.0,0.3348180344856508,2.986696942822107,0.5150522317188984,0.8452991452991453,0.6951566951566952,Google
quiz generator,650,model_provider,442,146,54.0,0.08163990012718664,12.24891258370113,0.1541095890410959,0.3926940639269407,0.6852908844917976,Mistral AI
quiz generator,650,matched_service_minus_model,442,77,,0.15453467888532824,,,,,not_applicable
course generator,756,combined,527,509,69.0,0.1991973062539797,5.020148207852692,0.3819300215174478,0.6531200299373188,0.8705358752937123,Google
course generator,756,provider_only,527,496,68.0,0.21634113002587005,4.622329558324948,0.41411290322580646,0.686491935483871,0.8502124841872235,Google
course generator,756,inference_service,527,399,10.0,0.3066711962306211,3.260821401850814,0.4727234753550543,0.829030910609858,0.6774352548036758,Google
course generator,756,model_provider,527,196,61.0,0.07328145969272061,13.646016389317838,0.13520408163265307,0.3664965986394558,0.6914938106390097,Mistral AI
course generator,756,matched_service_minus_model,527,99,,0.21514669704905395,,,,,not_applicable
teaching assistant,714,combined,485,467,63.0,0.20631104477733603,4.847050244349562,0.39282655246252673,0.661741613133476,0.8650770991242083,Google
teaching assistant,714,provider_only,485,457,62.0,0.22512568357468252,4.441963191944126,0.42611232676878186,0.6929248723559445,0.8445965977271124,Google
teaching assistant,714,inference_service,485,366,10.0,0.3145101127733484,3.1795479998465095,0.4816484517304189,0.8391165755919854,0.6869398907103824,Google
teaching assistant,714,model_provider,485,183,55.0,0.07568778802990035,13.212171025594664,0.14207650273224043,0.3706739526411657,0.6772147706573937,Google
teaching assistant,714,matched_service_minus_model,485,92,,0.2059785890569208,,,,,not_applicable
study assistant,567,combined,389,372,68.0,0.1481364857530094,6.750531409711702,0.28401177675371225,0.5773425499231951,0.8429475015812776,Google
study assistant,567,provider_only,389,360,67.0,0.15574362568587102,6.420808528093227,0.3182407407407407,0.6157407407407407,0.815192095080155,Google
study assistant,567,inference_service,389,275,10.0,0.2479117722681359,4.033693078997564,0.36587878787878786,0.7755757575757576,0.6188969696969696,Google
