rank_cutoff,candidate_union,analysis,strict_projects_in_frame,projects,providers,hhi,effective_number,top1_share,top3_share,gini,top_provider
25,378,combined,258,252,58.0,0.1486237712310086,6.7283987730716515,0.282020030234316,0.5820956160241875,0.8229311648030861,Google
25,378,provider_only,258,244,57.0,0.1574424437875123,6.351527427696825,0.31379781420765024,0.6287568306010929,0.7946074201898188,Google
25,378,inference_service,258,188,9.0,0.2446487852723706,4.087492193704078,0.3552304964539007,0.7803191489361702,0.5767730496453901,Google
25,378,model_provider,258,113,51.0,0.07337975652839776,13.627736685294163,0.13716814159292035,0.3724188790560472,0.6393660709121406,Mistral AI
25,378,matched_service_minus_model,258,57,,0.17209996238158748,,,,,not_applicable
50,557,combined,369,356,62.0,0.18869459361091562,5.299568900537657,0.36302166934189406,0.6416800428036383,0.8501654757589878,Google
50,557,provider_only,369,346,61.0,0.20510844647146395,4.875469622062233,0.39662813102119454,0.6820809248554912,0.826494835591775,Google
50,557,inference_service,369,274,9.0,0.2915143025437927,3.4303634205041282,0.4475060827250608,0.8225060827250609,0.6294809407948094,Google
50,557,model_provider,369,140,55.0,0.07222859977324261,13.844931275691906,0.14404761904761906,0.380952380952381,0.6498051948051947,Google
50,557,matched_service_minus_model,369,68,,0.18884863994617457,,,,,not_applicable
75,670,combined,454,438,67.0,0.19239812655322125,5.197555807402208,0.3707816916721026,0.6425527288540988,0.8625784969477466,Google
75,670,provider_only,454,427,66.0,0.21028514084125094,4.755447750608888,0.4064793130366901,0.6807181889149102,0.8407848981619475,Google
75,670,inference_service,454,336,9.0,0.2985275041729654,3.3497750995184843,0.4601686507936508,0.8207837301587302,0.635626102292769,Google
75,670,model_provider,454,177,60.0,0.07641792659268483,13.085934735315442,0.15065913370998119,0.38465160075329574,0.6833333333333333,Google
75,670,matched_service_minus_model,454,86,,0.22110863229373232,,,,,not_applicable
100,764,combined,530,512,70.0,0.19957230583069827,5.01071526852189,0.38262183779761905,0.6541759672619047,0.8712929156037413,Google
100,764,provider_only,530,499,69.0,0.2170673187836372,4.606865766821188,0.4156312625250501,0.6863727454909819,0.8502405777739054,Google
100,764,inference_service,530,400,10.0,0.3075037152777778,3.251993229079097,0.4740416666666667,0.8294583333333334,0.6779916666666667,Google
100,764,model_provider,530,198,62.0,0.07316890850140008,13.66700720950163,0.13468013468013468,0.3678451178451178,0.6914711632453568,Google
100,764,matched_service_minus_model,530,99,,0.21514669704905395,,,,,not_applicable
