service_group,model_group,joint_fractional_share,service_fractional_share,model_share_within_service,panel
Hugging Face,Mistral AI,0.1742424242424242,0.5353535353535351,0.3254716981132076,composition
Hugging Face,OpenAI,0.1313131313131313,0.5353535353535351,0.2452830188679246,composition
Hugging Face,namespace:sentence-transformers,0.0101010101010101,0.5353535353535351,0.018867924528301893,composition
Hugging Face,Alibaba,0.0791245791245791,0.5353535353535351,0.1477987421383648,composition
Hugging Face,Meta,0.058080808080808,0.5353535353535351,0.10849056603773574,composition
Hugging Face,Google,0.0387205387205387,0.5353535353535351,0.07232704402515722,composition
Hugging Face,Other model categories (20),0.043771043771043704,0.5353535353535351,0.08176100628930809,composition
Groq,Mistral AI,0.0,0.1616161616161613,0.0,composition
Groq,OpenAI,0.0361952861952861,0.1616161616161613,0.22395833333333318,composition
Groq,namespace:sentence-transformers,0.0757575757575757,0.1616161616161613,0.4687500000000006,composition
Groq,Alibaba,0.021043771043771,0.1616161616161613,0.13020833333333331,composition
Groq,Meta,0.0058922558922558,0.1616161616161613,0.036458333333332836,composition
Groq,Google,0.0,0.1616161616161613,0.0,composition
Groq,Other model categories (20),0.0227272727272727,0.1616161616161613,0.1406250000000001,composition
Google,Mistral AI,0.0101010101010101,0.12878787878787828,0.07843137254901991,composition
Google,OpenAI,0.005050505050505,0.12878787878787828,0.03921568627450956,composition
Google,namespace:sentence-transformers,0.0555555555555555,0.12878787878787828,0.4313725490196091,composition
Google,Alibaba,0.005050505050505,0.12878787878787828,0.03921568627450956,composition
Google,Meta,0.005050505050505,0.12878787878787828,0.03921568627450956,composition
Google,Google,0.005050505050505,0.12878787878787828,0.03921568627450956,composition
Google,Other model categories (20),0.0429292929292927,0.12878787878787828,0.33333333333333287,composition
OpenAI,Mistral AI,0.0075757575757575,0.078282828282828,0.09677419354838648,composition
OpenAI,OpenAI,0.0,0.078282828282828,0.0,composition
OpenAI,namespace:sentence-transformers,0.005050505050505,0.078282828282828,0.06451612903225765,composition
OpenAI,Alibaba,0.0,0.078282828282828,0.0,composition
OpenAI,Meta,0.0126262626262626,0.078282828282828,0.1612903225806454,composition
OpenAI,Google,0.0,0.078282828282828,0.0,composition
OpenAI,Other model categories (20),0.0530303030303029,0.078282828282828,0.6774193548387105,composition
Other services (5),Mistral AI,0.005050505050505,0.0959595959595955,0.05263157894736815,composition
Other services (5),OpenAI,0.0033670033670033,0.0959595959595955,0.035087719298245085,composition
Other services (5),namespace:sentence-transformers,0.0,0.0959595959595955,0.0,composition
Other services (5),Alibaba,0.0126262626262626,0.0959595959595955,0.1315789473684214,composition
Other services (5),Meta,0.0336700336700336,0.0959595959595955,0.3508771929824571,composition
Other services (5),Google,0.0084175084175084,0.0959595959595955,0.08771929824561428,composition
Other services (5),Other model categories (20),0.032828282828282596,0.0959595959595955,0.34210526315789397,composition
