layer,hhi,low,high,top_share,shannon_effective_categories,panel,draw,mutual_information
Declared services,0.33894500561167223,0.26859249056218754,0.43620612692582383,0.5353535353535354,4.212413847848084,a,,
Referenced models,0.12379830856261832,0.10717851211327643,0.1583909734267478,0.19696969696969696,11.310042730073583,a,,
,,,,,,b,1.0,0.4087502201964734
,,,,,,b,2.0,0.4039329130892275
,,,,,,b,3.0,0.3527355920207156
,,,,,,b,4.0,0.3333437410118836
,,,,,,b,5.0,0.3348394559654308
,,,,,,b,6.0,0.3951650499502133
,,,,,,b,7.0,0.3360559312972366
,,,,,,b,8.0,0.3689381007849324
,,,,,,b,9.0,0.3246488615912812
,,,,,,b,10.0,0.3102161020596568
,,,,,,b,11.0,0.3189713396671392
,,,,,,b,12.0,0.3325442502664635
,,,,,,b,13.0,0.36791735356665
,,,,,,b,14.0,0.2901483467046817
,,,,,,b,15.0,0.3474501160710677
,,,,,,b,16.0,0.4486579231185525
,,,,,,b,17.0,0.3836899241799276
,,,,,,b,18.0,0.360234383472847
,,,,,,b,19.0,0.2924339766289328
,,,,,,b,20.0,0.3490101923691622
,,,,,,b,21.0,0.3344123054197276
,,,,,,b,22.0,0.3315943384111381
,,,,,,b,23.0,0.3424422562672533
,,,,,,b,24.0,0.3190787923013882
,,,,,,b,25.0,0.3436321430600331
,,,,,,b,26.0,0.314504104500763
,,,,,,b,27.0,0.3452739252025383
,,,,,,b,28.0,0.3597319353737207
,,,,,,b,29.0,0.359766072263453
,,,,,,b,30.0,0.312081272915031
,,,,,,b,31.0,0.3383105455816202
,,,,,,b,32.0,0.3564972153151577
,,,,,,b,33.0,0.3355693114633009
,,,,,,b,34.0,0.3539641284427128
,,,,,,b,35.0,0.3240027285794364
,,,,,,b,36.0,0.3421571660279849
,,,,,,b,37.0,0.3245271895516577
,,,,,,b,38.0,0.3568081378880148
,,,,,,b,39.0,0.3672073841360372
,,,,,,b,40.0,0.4013429211825863
,,,,,,b,41.0,0.3591479201856402
,,,,,,b,42.0,0.4126904186055133
,,,,,,b,43.0,0.4361381459357782
,,,,,,b,44.0,0.3718392693360677
,,,,,,b,45.0,0.3787071270131354
,,,,,,b,46.0,0.3380355729344888
,,,,,,b,47.0,0.3325728800077514
,,,,,,b,48.0,0.2938274789259778
,,,,,,b,49.0,0.3258662504019565
,,,,,,b,50.0,0.3108264653555297
,,,,,,b,51.0,0.434047153921099
,,,,,,b,52.0,0.2891168974357625
,,,,,,b,53.0,0.3579429506370823
,,,,,,b,54.0,0.3197745746942417
,,,,,,b,55.0,0.2821145434605014
,,,,,,b,56.0,0.4133919933414862
,,,,,,b,57.0,0.3552173711379014
,,,,,,b,58.0,0.3813562164954711
,,,,,,b,59.0,0.3112960693804041
,,,,,,b,60.0,0.3307590899294386
,,,,,,b,61.0,0.3220529283356113
,,,,,,b,62.0,0.365724817609903
,,,,,,b,63.0,0.3585701670856256
,,,,,,b,64.0,0.3379823627918803
,,,,,,b,65.0,0.324975539346807
,,,,,,b,66.0,0.3546651566763974
,,,,,,b,67.0,0.3823122371256282
,,,,,,b,68.0,0.3670081704009047
,,,,,,b,69.0,0.3148829489262255
,,,,,,b,70.0,0.3276813825749332
,,,,,,b,71.0,0.3657753971690551
,,,,,,b,72.0,0.3061424664075685
,,,,,,b,73.0,0.318108319969169
,,,,,,b,74.0,0.2903831056079275
,,,,,,b,75.0,0.3656883134100872
,,,,,,b,76.0,0.3694932724000899
,,,,,,b,77.0,0.3250214748013054
,,,,,,b,78.0,0.3065240981557862
,,,,,,b,79.0,0.3374359105787188
,,,,,,b,80.0,0.3526303082789606
,,,,,,b,81.0,0.2720210470404538
,,,,,,b,82.0,0.3209811950226133
,,,,,,b,83.0,0.4043799626740454
,,,,,,b,84.0,0.4118872995758345
,,,,,,b,85.0,0.3091711986986736
,,,,,,b,86.0,0.3221491507175207
,,,,,,b,87.0,0.3315262298259851
,,,,,,b,88.0,0.3831131713814679
,,,,,,b,89.0,0.3742381394412075
,,,,,,b,90.0,0.3648768579965056
,,,,,,b,91.0,0.3296673985203493
,,,,,,b,92.0,0.359700215033595
,,,,,,b,93.0,0.3538072399113887
,,,,,,b,94.0,0.386410233654276
,,,,,,b,95.0,0.3598383834020042
,,,,,,b,96.0,0.3234189633095283
,,,,,,b,97.0,0.3037365318871221
,,,,,,b,98.0,0.3590229693807227
,,,,,,b,99.0,0.3468749743401793
,,,,,,b,100.0,0.3939944154803232
,,,,,,b,101.0,0.3735282294787421
,,,,,,b,102.0,0.3597856670858821
,,,,,,b,103.0,0.323410661261077
,,,,,,b,104.0,0.3136684345195344
,,,,,,b,105.0,0.3341369554066205
,,,,,,b,106.0,0.3150696061379316
,,,,,,b,107.0,0.3848890963361122
,,,,,,b,108.0,0.3337697638139087
,,,,,,b,109.0,0.2929061047673666
,,,,,,b,110.0,0.3529940778901608
,,,,,,b,111.0,0.3376297406199628
,,,,,,b,112.0,0.4033697467669817
,,,,,,b,113.0,0.3471562666415728
,,,,,,b,114.0,0.3448976491975752
,,,,,,b,115.0,0.3334231342430014
,,,,,,b,116.0,0.3596333401442342
,,,,,,b,117.0,0.3605516829361597
,,,,,,b,118.0,0.3536455296216525
