space_id,provider,layer,evidence_type,evidence_value,source_file,confidence,model_family,upstream_license,provider_basis
10805j/aitutor,OpenAI,inference_service,code_signature,openai_official,utils/ai_helper.py,high,,not_applicable,code_signature
13yashjadhav11/study_assistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
13yashjadhav11/study_assistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
24-cka-ML/quiz-generator,OpenAI,inference_service,code_signature,openai_official,app.py,high,,not_applicable,code_signature
3atar/Study-assistant,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
3atar/Study-assistant,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
3atar/Study-assistant,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
3atar/Study-assistant,Microsoft,model_dependency,hf_linked_model,microsoft/DialoGPT-medium,hub_metadata,high,DialoGPT,mit,model_namespace
3atar/Study-assistant,namespace:sentence-transformers,model_dependency,hf_linked_model,sentence-transformers/all-MiniLM-L6-v2,hub_metadata,high,MiniLM,apache-2.0,unmapped_public_namespace
77skaul/edu-tutor-chatbot,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
77skaul/edu-tutor-chatbot,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
77skaul/edu-tutor-chatbot,Google,model_dependency,hf_linked_model,google/flan-t5-base,hub_metadata,high,T5/FLAN-T5,apache-2.0,model_namespace
aakashdevdat/Quiz_generator_1,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
aakashdevdat/Quiz_generator_1,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
aakashdevdat/Quiz_generator_1,namespace:valhalla,model_dependency,hf_linked_model,valhalla/t5-base-e2e-qg,hub_metadata,high,T5/FLAN-T5,mit,unmapped_public_namespace
aazankhanYousafzai/Ai_Study_Assistant,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
aazankhanYousafzai/Ai_Study_Assistant,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
abai-cn/linux-teaching-assistant,DeepSeek,inference_service,code_signature,deepseek_endpoint,modules/llm.py,high,,not_applicable,code_signature
Abdalaziz2026/Syria-ai-tutor,Hugging Face,inference_service,code_signature,hf_inference,app.py,high,,not_applicable,code_signature
Abdalaziz2026/Syria-ai-tutor,Alibaba,model_dependency,hf_linked_model,Qwen/Qwen2.5-7B-Instruct,hub_metadata,high,Qwen,apache-2.0,base_model_namespace
Abde1ra7man/Quiz_Generator,OpenAI,model_dependency,hf_linked_model,openai/gpt-oss-120b,hub_metadata,high,gpt,apache-2.0,model_namespace
Abdelrahman04/egyptian-educational-chatbot-demo,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
Abdelrahman04/egyptian-educational-chatbot-demo,namespace:Abdelrahman04,model_dependency,hf_linked_model,Abdelrahman04/egyptian-educational-chatbot-model,hub_metadata,high,Llama,missing,unmapped_public_namespace
abdullahkhankakar/quiz-generator,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
abdullahkhankakar/quiz-generator,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
abdullahkhankakar/quiz-generator,User-managed runtime,local_runtime,code_signature,transformers_runtime,model.py,high,,not_applicable,code_signature
abdullahkhankakar/quiz-generator,namespace:HuggingFaceTB,model_dependency,hf_linked_model,HuggingFaceTB/SmolLM2-1.7B-Instruct,hub_metadata,high,SmolLM2,apache-2.0,unmapped_public_namespace
abhey-patel/quiz-generator-space,Hugging Face,inference_service,code_signature,hf_inference,app.py,high,,not_applicable,code_signature
abhey-patel/quiz-generator-space,namespace:koshkosh,model_dependency,hf_linked_model,koshkosh/quiz-generator,hub_metadata,high,quiz,missing,unmapped_public_namespace
Abhinaychatla/language_voice_tutor,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
Abhinaychatla/language_voice_tutor,Google,inference_service,package,langchain-google-genai,requirements.txt,high,,not_applicable,package
AbhiReddy1/AI_datascince_Tutor,Google,inference_service,package,google-generativeai,requirements.txt,high,,not_applicable,package
AbhiReddy1/AI_datascince_Tutor,Google,inference_service,package,langchain-google-genai,requirements.txt,high,,not_applicable,package
AbhiReddy1/AI_datascince_Tutor,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
AbhiReddy1/AI_datascince_Tutor,User-managed runtime,local_runtime,code_signature,transformers_runtime,DS_AI_TUTOR.py,high,,not_applicable,code_signature
AbhiReddy1/AI_datascince_Tutor,Mistral AI,model_dependency,code_model_id,mistralai/Mistral-7B-Instruct,selected_source_files,medium,Mistral/Mixtral,missing,model_namespace
ABRB0917/StudyAssistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
ABRB0917/StudyAssistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
abubakaraabi786/programming-tutor-chatbot,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
abubakaraabi786/programming-tutor-chatbot,Alibaba,model_dependency,hf_linked_model,Qwen/Qwen3-32B,hub_metadata,high,Qwen,apache-2.0,model_namespace
abubakaraabi786/programming-tutor-chatbot,Meta,model_dependency,hf_linked_model,meta-llama/Llama-4-Maverick-17B-128E-Instruct,hub_metadata,high,Llama,other,base_model_namespace
abubakaraabi786/programming-tutor-chatbot,Meta,model_dependency,hf_linked_model,meta-llama/Llama-4-Scout-17B-16E-Instruct,hub_metadata,high,Llama,other,base_model_namespace
abubakaraabi786/programming-tutor-chatbot,OpenAI,model_dependency,hf_linked_model,openai/gpt-oss-120b,hub_metadata,high,gpt,apache-2.0,model_namespace
abubakaraabi786/programming-tutor-chatbot,OpenAI,model_dependency,hf_linked_model,openai/gpt-oss-20b,hub_metadata,high,gpt,apache-2.0,model_namespace
Achyutar/Engross-Educational-AI,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
Achyutar/Engross-Educational-AI,Hugging Face,inference_service,code_signature,hf_inference,app.py,high,,not_applicable,code_signature
Achyutar/Engross-Educational-AI,Mistral AI,model_dependency,hf_linked_model,HuggingFaceH4/zephyr-7b-beta,hub_metadata,high,Mistral/Mixtral,mit,base_model_namespace
Aditya1546/ai-study-assistant,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
Aditya1546/ai-study-assistant,Groq,inference_service,code_signature,groq_sdk,rag_engine.py,high,,not_applicable,code_signature
AdityaKokate/StudyAssistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
AdityaKokate/StudyAssistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
adriiita/TeachingAssistant,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
adriiita/TeachingAssistant,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
adriiita/TeachingAssistant,Groq,inference_service,code_signature,groq_sdk,core/note_generator.py,high,,not_applicable,code_signature
adriiita/TeachingAssistant,Groq,inference_service,code_signature,groq_sdk,core/quiz_generator.py,high,,not_applicable,code_signature
Agents-MCP-Hackathon/AI-Tutor-and-Syllabus-Planner,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
Agents-MCP-Hackathon/AI_tutor,OpenAI,inference_service,code_signature,openai_official,app/chatbot.py,high,,not_applicable,code_signature
Agents-MCP-Hackathon/AI_tutor,OpenAI,inference_service,code_signature,openai_official,app/gradio_interface.py,high,,not_applicable,code_signature
Agents-MCP-Hackathon/AI_tutor,OpenAI,inference_service,code_signature,openai_official,app/lecture_generator.py,high,,not_applicable,code_signature
Agents-MCP-Hackathon/AI_tutor,OpenAI,inference_service,code_signature,openai_official,app/rag_system.py,high,,not_applicable,code_signature
Akash035/my_study_assistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
Akash035/my_study_assistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
akhileshjethi/Study-assistant-ai,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
akhileshjethi/Study-assistant-ai,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
akhileshjethi/Study-assistant-ai,namespace:distilbert,model_dependency,hf_linked_model,distilbert/distilbert-base-cased-distilled-squad,hub_metadata,high,distilbert,apache-2.0,unmapped_public_namespace
akshay0149/TeachingAssistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
akshay0149/TeachingAssistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
Aleesha29/socratic_tutor,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
Aleesha29/socratic_tutor,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
alusinebarrie/ai-teaching-assistant,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
alusinebarrie/ai-teaching-assistant,Hugging Face,inference_service,code_signature,hf_inference,app.py,high,,not_applicable,code_signature
alusinebarrie/ai-teaching-assistant,Mistral AI,model_dependency,hf_linked_model,HuggingFaceH4/zephyr-7b-beta,hub_metadata,high,Mistral/Mixtral,mit,base_model_namespace
alusinebarrie/your-ai-teaching-assistant,OpenAI,inference_service,code_signature,openai_official,app.py,high,,not_applicable,code_signature
alusinebarrie/your-ai-teaching-assistant,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
amalrajmp/StudyAssistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
amalrajmp/StudyAssistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
aman7935/Quiz_generator,Hugging Face,inference_service,code_signature,hf_inference,app.py,high,,not_applicable,code_signature
