space_id,revision_role,revision,revision_date,provider,layer,evidence_type,evidence_value,source_file,confidence
13yashjadhav11/study_assistant,earliest_analyzable,6589f7ddbb9b9744e1524f876c4862b57caa2d87,2026-01-16T07:26:13.000Z,Google,inference_service,code_signature,gemini_sdk,app.py,high
13yashjadhav11/study_assistant,earliest_analyzable,6589f7ddbb9b9744e1524f876c4862b57caa2d87,2026-01-16T07:26:13.000Z,Google,inference_service,package,google-genai,requirements.txt,high
24-cka-ML/quiz-generator,earliest_analyzable,6be03b43ad2a3e3acee82eee435955f11e605020,2025-03-16T12:46:42.000Z,OpenAI,inference_service,code_signature,openai_official,app.py,high
3atar/Study-assistant,earliest_analyzable,1ca40786b0d1e48f68c24021c661cc79f067ed26,2025-11-26T02:27:51.000Z,User-managed runtime,local_runtime,code_signature,transformers_runtime,ui.py,high
3atar/Study-assistant,earliest_analyzable,1ca40786b0d1e48f68c24021c661cc79f067ed26,2025-11-26T02:27:51.000Z,User-managed runtime,local_runtime,package,transformers,requirements.txt,high
aakashdevdat/Quiz_generator_1,earliest_analyzable,6ef5f0ee3df26b8be1831ab5e604713ddbb7d988,2025-05-11T05:10:53.000Z,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high
abai-cn/linux-teaching-assistant,earliest_analyzable,b6c2e2029e2aa82c997b923ff3fb365feabfef83,2026-06-25T03:25:19.000Z,DeepSeek,inference_service,code_signature,deepseek_endpoint,modules/llm.py,high
Abdalaziz2026/Syria-ai-tutor,earliest_analyzable,39edbf284bbd050994ec244daa9eba535436c9de,2026-06-03T22:53:07.000Z,Hugging Face,inference_service,code_signature,hf_inference,app.py,high
Abdelrahman04/egyptian-educational-chatbot-demo,earliest_analyzable,c2b9164ad99080b333e4cde109b9cdd9b201cf86,2025-12-16T05:40:59.000Z,Hugging Face,inference_service,code_signature,hf_inference,app.py,high
abdullahkhankakar/quiz-generator,earliest_analyzable,9263690ff1e1c5af9044a7c011ef55ce683a6929,2026-07-27T11:41:07.000Z,User-managed runtime,local_runtime,code_signature,transformers_runtime,model.py,high
abdullahkhankakar/quiz-generator,earliest_analyzable,9263690ff1e1c5af9044a7c011ef55ce683a6929,2026-07-27T11:41:07.000Z,User-managed runtime,local_runtime,package,transformers,requirements.txt,high
Abhinaychatla/language_voice_tutor,earliest_analyzable,89473f9740ace94e9fa06ab5561807d284e33876,2026-06-21T16:55:24.000Z,Google,inference_service,code_signature,gemini_sdk,main.py,high
Abhinaychatla/language_voice_tutor,earliest_analyzable,89473f9740ace94e9fa06ab5561807d284e33876,2026-06-21T16:55:24.000Z,Google,inference_service,package,langchain-google-genai,requirements.txt,high
AbhiReddy1/AI_datascince_Tutor,earliest_analyzable,57491263c95155a5f406741d9e1db642cdcedb73,2025-03-21T07:54:58.000Z,Google,inference_service,package,google-generativeai,requirements.txt,high
AbhiReddy1/AI_datascince_Tutor,earliest_analyzable,57491263c95155a5f406741d9e1db642cdcedb73,2025-03-21T07:54:58.000Z,Google,inference_service,package,langchain-google-genai,requirements.txt,high
ABRB0917/StudyAssistant,earliest_analyzable,b737af742bc0a809878b394755d9bc04567798b6,2026-06-18T14:14:45.000Z,Google,inference_service,code_signature,gemini_sdk,app.py,high
ABRB0917/StudyAssistant,earliest_analyzable,b737af742bc0a809878b394755d9bc04567798b6,2026-06-18T14:14:45.000Z,Google,inference_service,package,google-genai,requirements.txt,high
abubakaraabi786/programming-tutor-chatbot,earliest_analyzable,4bad81bca833baf372e4fe5861dc15a177536d78,2025-12-20T11:47:40.000Z,Groq,inference_service,code_signature,groq_sdk,app.py,high
Achyutar/Engross-Educational-AI,earliest_analyzable,570550a2576f7db4df8af8ea543b369ea912faad,2025-02-17T16:28:54.000Z,Hugging Face,inference_service,code_signature,hf_inference,app.py,high
Aditya1546/ai-study-assistant,earliest_analyzable,e7e47e5b8f326abc3b71ff3451cb327f63f533cd,2026-07-07T09:49:23.000Z,Google,inference_service,package,google-generativeai,requirements.txt,high
Aditya1546/ai-study-assistant,earliest_analyzable,e7e47e5b8f326abc3b71ff3451cb327f63f533cd,2026-07-07T09:49:23.000Z,Groq,inference_service,code_signature,groq_sdk,rag_engine.py,high
AdityaKokate/StudyAssistant,earliest_analyzable,bf7c4c4f935cb8abfad4c3a8326b02f1513f47d1,2026-07-30T14:34:11.000Z,Google,inference_service,code_signature,gemini_sdk,app.py,high
AdityaKokate/StudyAssistant,earliest_analyzable,bf7c4c4f935cb8abfad4c3a8326b02f1513f47d1,2026-07-30T14:34:11.000Z,Google,inference_service,package,google-genai,requirements.txt,high
adriiita/TeachingAssistant,earliest_analyzable,c347d26be1be897fc80fc73ee468a7bcaefb777a,2024-11-20T18:03:30.000Z,Groq,inference_service,code_signature,groq_sdk,app.py,high
adriiita/TeachingAssistant,earliest_analyzable,c347d26be1be897fc80fc73ee468a7bcaefb777a,2024-11-20T18:03:30.000Z,Groq,inference_service,code_signature,groq_sdk,core/note_generator.py,high
adriiita/TeachingAssistant,earliest_analyzable,c347d26be1be897fc80fc73ee468a7bcaefb777a,2024-11-20T18:03:30.000Z,Groq,inference_service,code_signature,groq_sdk,core/quiz_generator.py,high
adriiita/TeachingAssistant,earliest_analyzable,c347d26be1be897fc80fc73ee468a7bcaefb777a,2024-11-20T18:03:30.000Z,Groq,inference_service,package,groq,requirements.txt,high
Agents-MCP-Hackathon/AI_tutor,earliest_analyzable,1d956004b44e783bd76abd2bdd43e3ef94d7f57e,2025-06-10T04:50:17.000Z,OpenAI,inference_service,code_signature,openai_official,app/chatbot.py,high
Agents-MCP-Hackathon/AI_tutor,earliest_analyzable,1d956004b44e783bd76abd2bdd43e3ef94d7f57e,2025-06-10T04:50:17.000Z,OpenAI,inference_service,code_signature,openai_official,app/lecture_generator.py,high
Agents-MCP-Hackathon/AI_tutor,earliest_analyzable,1d956004b44e783bd76abd2bdd43e3ef94d7f57e,2025-06-10T04:50:17.000Z,OpenAI,inference_service,code_signature,openai_official,app/rag_system.py,high
Akash035/my_study_assistant,earliest_analyzable,cf8ce1019d02405129a26d4003b4b83ba54b77f8,2026-03-07T10:33:41.000Z,Google,inference_service,code_signature,gemini_sdk,app.py,high
Akash035/my_study_assistant,earliest_analyzable,cf8ce1019d02405129a26d4003b4b83ba54b77f8,2026-03-07T10:33:41.000Z,Google,inference_service,package,google-genai,requirements.txt,high
akhileshjethi/Study-assistant-ai,earliest_analyzable,1500d840a5f47ae6696119165019fda7864f6b41,2025-09-30T06:28:20.000Z,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high
akshay0149/TeachingAssistant,earliest_analyzable,4c6cf7f54ec0d466c753299af933881eb6bdc39b,2026-07-03T18:35:59.000Z,Hugging Face,inference_service,code_signature,hf_inference,app.py,high
Aleesha29/socratic_tutor,earliest_analyzable,417992f5821dda08d59ab340a4db01b0dab73311,2026-02-20T16:28:13.000Z,OpenAI,inference_service,code_signature,openai_official,app.py,high
alusinebarrie/ai-teaching-assistant,earliest_analyzable,e66bff77679c7746914d2536a7c0201e9464cbec,2024-07-20T20:21:27.000Z,Hugging Face,inference_service,code_signature,hf_inference,app.py,high
amalrajmp/StudyAssistant,earliest_analyzable,15b5b50283b8612dc3988f3a93732abed61c5acd,2026-08-16T13:15:08.000Z,Google,inference_service,code_signature,gemini_sdk,app.py,high
amalrajmp/StudyAssistant,earliest_analyzable,15b5b50283b8612dc3988f3a93732abed61c5acd,2026-08-16T13:15:08.000Z,Google,inference_service,package,google-genai,requirements.txt,high
aman7935/Quiz_generator,earliest_analyzable,8d08b439a4953396f6a11d5b6115f7b061b4d05e,2025-11-04T09:02:25.000Z,Hugging Face,inference_service,code_signature,hf_inference,app.py,high
AneelaFatima/AI_Friendly_Study_Tutor,earliest_analyzable,271a28e2dc1dba25f02a0b03ff4e703bae9ccd3d,2025-08-19T03:12:25.000Z,Groq,inference_service,package,groq,requirements.txt,high
Anilkumar12/StudyAssistant,earliest_analyzable,8d2d4174adb41a22bfba88e5b6ca3c6a4b74dddd,2026-07-31T06:19:35.000Z,Google,inference_service,code_signature,gemini_sdk,app.py,high
Anilkumar12/StudyAssistant,earliest_analyzable,8d2d4174adb41a22bfba88e5b6ca3c6a4b74dddd,2026-07-31T06:19:35.000Z,Google,inference_service,package,google-genai,requirements.txt,high
ankittumu/Ace-Study-Assistant,earliest_analyzable,447c392a68a5d820bfabd82707f38e4617a3e36e,2025-09-25T18:08:00.000Z,User-managed runtime,local_runtime,package,ollama,requirements.txt,high
Anmol2006/AI_Study_Assistant,earliest_analyzable,14ba597ebdcd9dc9d77a3358348f9d30b1598f82,2026-02-09T11:36:32.000Z,Google,inference_service,code_signature,gemini_sdk,app.py,high
Anmol2006/AI_Study_Assistant,earliest_analyzable,14ba597ebdcd9dc9d77a3358348f9d30b1598f82,2026-02-09T11:36:32.000Z,Google,inference_service,package,google-genai,requirements.txt,high
antedotee/teachingAssistant,earliest_analyzable,c545324ad118de35a529dd19fa61b3cbe72e4ad0,2024-02-21T21:21:17.000Z,OpenAI,inference_service,code_signature,openai_official,app.py,high
antedotee/teachingAssistant,earliest_analyzable,c545324ad118de35a529dd19fa61b3cbe72e4ad0,2024-02-21T21:21:17.000Z,OpenAI,inference_service,code_signature,openai_official,open_ai_assistants.py,high
antedotee/teachingAssistant,earliest_analyzable,c545324ad118de35a529dd19fa61b3cbe72e4ad0,2024-02-21T21:21:17.000Z,OpenAI,inference_service,code_signature,openai_official,utils.py,high
Anupam251272/Education-Chatbot-Anupam,earliest_analyzable,8ccc56337366064885d7c40f09f8786d53a8081e,2025-01-24T11:40:54.000Z,OpenAI,inference_service,code_signature,openai_official,app.py,high
Apoorvahu/my-study-assistant,earliest_analyzable,62e5d6528063f371eff792a8c7a93895afcbdc84,2026-07-04T03:40:23.000Z,Google,inference_service,code_signature,gemini_sdk,app.py,high
Apoorvahu/my-study-assistant,earliest_analyzable,62e5d6528063f371eff792a8c7a93895afcbdc84,2026-07-04T03:40:23.000Z,Google,inference_service,package,google-genai,requirements.txt,high
