query,arm,rank,space_id
ai tutor,createdAt,1,nabilakil/nabil-ai-tutor
ai tutor,createdAt,2,bimboawo2026/AI-Tutor
ai tutor,createdAt,3,bimboawo2026/Smart-AI-Tutor
ai tutor,createdAt,4,VinayKarthik800/ai-tutor
ai tutor,createdAt,5,rugvedaa/Ai-tutorApp
ai tutor,createdAt,6,rishitha-reddy-8/AITutor
ai tutor,createdAt,7,SaanviWatrana/saanvi-ai-study-tutor
ai tutor,createdAt,8,Selenophile786/physics-ai-tutor
ai tutor,createdAt,9,smartteacher2026/aitutor
ai tutor,createdAt,10,kshitijsingh030/KS_AI_TUTOR
ai tutor,createdAt,11,shb59na/ai-study-tutor
ai tutor,createdAt,12,MiltonTech1245/math-ai-tutor
ai tutor,createdAt,13,arumugam-rockstar/Myfirst-AITutor
ai tutor,createdAt,14,Fuckyoumotherfucker/cs-ai-tutor2
ai tutor,createdAt,15,Fuckyoumotherfucker/cs-ai-tutor
ai tutor,createdAt,16,ekantabanik/Tutor_Ai
ai tutor,createdAt,17,One2SkipAfew/tutormina-ai
ai tutor,createdAt,18,nakshatravuppula25/AI_TUTOR
ai tutor,createdAt,19,Axiosingular/ai-tutor
ai tutor,createdAt,20,jhgyjfjg/math-ai-tutor
ai tutor,createdAt,21,Khanmx99/Pak-Angels-AI-Tutor
ai tutor,createdAt,22,Jangasathwika/aitutor
ai tutor,createdAt,23,Jangasathwika/ai.tutor
ai tutor,createdAt,24,FreeAi1111/Aitutorprep
ai tutor,createdAt,25,guddolla/ai.tutor
ai tutor,createdAt,26,Jangasathwika/ai_tutor
ai tutor,createdAt,27,chakrikajasti/AI_TUTOR
ai tutor,createdAt,28,guddolla/AI_TUTOR
ai tutor,createdAt,29,laharikalva/ai-tutor
ai tutor,createdAt,30,phanisrigandla/AI_Tutor
ai tutor,createdAt,31,Suharika25/AI_TUTOR_GEMINI
ai tutor,createdAt,32,apple46/AI_TUTORRRR
ai tutor,createdAt,33,Hamsini11/ai-agents-intensive-tutor
ai tutor,createdAt,34,Bhargavi-31/Ai_tutor
ai tutor,createdAt,35,varshiniemmadi/ai_tutor
ai tutor,createdAt,36,nandini1810/AI_TUTOR
ai tutor,createdAt,37,harikagajjala/AI_TUTOR
ai tutor,createdAt,38,mashetti-17varshitha/AI_tutor
ai tutor,createdAt,39,sanakousar/ai.tutor
ai tutor,createdAt,40,Hocbatrolai293/tutorhub-ai
ai tutor,createdAt,41,SrihithaReddy123/AI_TUTOR
ai tutor,createdAt,42,poojithathalla/AI_TUTOR
ai tutor,createdAt,43,SanaBegum23/AI_tutor
ai tutor,createdAt,44,NIKHITHA913/aitutor
ai tutor,createdAt,45,sandariyogitha/AI_TUTOR
ai tutor,createdAt,46,ShivaniSunkaraboina/AI_TUTORRR
ai tutor,createdAt,47,Harika06/AI_TUTOR
ai tutor,createdAt,48,sanakousar/ai-tutor
ai tutor,createdAt,49,Varshareddy1106/AI_TUTOR
ai tutor,createdAt,50,santhoshi-123/AITUTOR
ai tutor,createdAt,51,parveen19/AITUTORR
ai tutor,createdAt,52,Brisha124/AI_TUTOR
ai tutor,createdAt,53,kousarshaik/AI_TUTOR
ai tutor,createdAt,54,sudeepthitellapally/AITutor
ai tutor,createdAt,55,chandanareddy1234/AITutor
ai tutor,createdAt,56,naveensngc/AI-Tutor
ai tutor,createdAt,57,tejuu23/ai_tutor1
