space_id,source_cluster_id,source_cluster_basis,source_file_digests,source_cluster_size,source_cluster_weight
03dutoit/documind-ai-study-assistant,59086f5a5d87bffb5fdc58ceca5ff40abe120bf8d566227cf5d818b7fd2f24e8,exact_multifile_bundle,6,1,1.0
10805j/aitutor,ded756d15146b0118266c16edf277d57bc489567892b145cbc270e2b688e2a2f,exact_multifile_bundle,5,1,1.0
13yashjadhav11/study_assistant,851037a670a7dfd89643d2e3dc1280b64cbe3bafd40289e1890b4500ad9840b5,exact_multifile_bundle,2,1,1.0
23u2481/StudyAssistant,unique:23u2481/StudyAssistant,insufficient_files_for_clustering,1,1,1.0
24-cka-ML/quiz-generator,29a30cbfb2abda0428ea4ee944ef5167f07de155f2d0774c6ea3efe09fa55f04,exact_multifile_bundle,2,1,1.0
3atar/Study-assistant,85629011d440208123b002a2be1f2763e5406ef33a7d5d4d940f376d4aa0f19b,exact_multifile_bundle,2,1,1.0
77skaul/edu-tutor-chatbot,1811fa5cb3c79c94faca33b5717af6cf6c0055d50272c04ce23f76cc0f1ad0e5,exact_multifile_bundle,2,1,1.0
ABD20124082402/educraft-ai-smart-teaching-assistant,unique:ABD20124082402/educraft-ai-smart-teaching-assistant,insufficient_files_for_clustering,1,1,1.0
ABRB0917/StudyAssistant,f1d36668d008d9cacdf6590f8b8f8ca7e5850589940d5c0779f249d8d60b24ee,exact_multifile_bundle,2,2,0.5
ARNABMAJI1234/interactive-study-assistant-demo,624115219c0e55f95b524e6940ffa7fcf3ece02d4432e5e130f133451b1ca4cf,exact_multifile_bundle,2,1,1.0
Aailesgrises/brainfuel-ai-powered-learning-companion,388ca854ffa009f6453c06d97b8f612580e53d1670727e1224f98f5f2139dee7,exact_multifile_bundle,5,1,1.0
Aasher/Flexx_Your_Homework_Assistant,a4345e081c9d9a8d3edefe62a252ea9fc396642209696771d816a2ed6c92d0d3,exact_multifile_bundle,8,1,1.0
Abdalaziz2026/Syria-ai-tutor,unique:Abdalaziz2026/Syria-ai-tutor,insufficient_files_for_clustering,1,1,1.0
