space_id,github_repository
Aditya1546/ai-study-assistant,Aditya1546/ai-study-assistant
ayushsainime/socratic_maths_tutor.ai,ayushsainime/SOCRATIC_MATH_TUTOR.AI
brcew/ai-engineering-tutor,brcew/AI-Engineering-Tutor
24-cka-ML/quiz-generator,ckakgun/quiz-generator
cosmoEagle/DSA-Teaching-Assistant,cosmoEagle/Teaching_assistant
pseudolab/AI_Tutor_BERT,CountingMstar/AI_BERT
tools4ds/ai_tutor,edubotics-ai/edubotics-core
midlajvalappil/AI-Powered-YouTube-Transcript-Tutor,jdepoix/youtube-transcript-api
jonowrenn/cs-study-assistant,jonowrenn/GPTChatbot
ayushsainime/socratic_maths_tutor.ai,lukas-blecher/LaTeX-OCR
midlajvalappil/AI-Powered-YouTube-Transcript-Tutor,midlaj-muhammed/AI-Powered-YouTube-Transcript-Tutor
Boyston/reachy_mini_language_tutor,mwvaughn/reachy_mini_language_tutor
mattdotvaughn/reachy_mini_language_tutor,mwvaughn/reachy_mini_language_tutor
build-small-hackathon/tutordesk-ai,Naazimsnh02/tutordesk_ai
DataRebels/chatbot_language_tutor,openai/whisper
Boyston/reachy_mini_language_tutor,pollen-robotics/reachy_mini
mattdotvaughn/reachy_mini_language_tutor,pollen-robotics/reachy_mini
rcventura108000/Sophia-Ai-english-tutor,seu-usuario/english-tutor-ai
srinivas25046/ai-study-assistant,Srinivas25046/ai-study-assistant
tools4ds/ai_tutor,tools4ds/ds701-tutor
rcventura108000/Sophia-Ai-english-tutor,your-username/english-tutor-ai
Thepatelsuraj12/Rag-based-AI-Teaching-Assistant,YOUR-USERNAME/rag-teaching-assistant
shaheerawan3/AI-Teaching-Assistant,yourusername/ai-teaching-assistant
Masterlew/math-tutor-chatbot,yourusername/math-tutor-chatbot
midlajvalappil/AI-Powered-YouTube-Transcript-Tutor,yourusername/youtube-transcript-chatbot
