space_id,current_revision,history_status_code,history_pages,commit_count_through_snapshot,first_commit_date,last_commit_date,initial_revision,initial_revision_date,initial_revision_rank,initial_tree_status_code,initial_selected_file_count,initial_dependency_signal_count,initial_state_status,current_revision_in_history,history_span_days
10805j/aitutor,1bdd4feb1b68faabf304510349772b5ea992e773,200,1,8,2025-05-31T02:31:15.000Z,2025-05-31T02:43:31.000Z,f6f9f52edebbbf2fa65f143c87cc55b4884675c1,2025-05-31T02:31:15.000Z,1,200,3,0,RESOLVED,True,0.008518518518518519
13yashjadhav11/study_assistant,6589f7ddbb9b9744e1524f876c4862b57caa2d87,200,1,2,2026-01-16T07:22:47.000Z,2026-01-16T07:26:13.000Z,6589f7ddbb9b9744e1524f876c4862b57caa2d87,2026-01-16T07:26:13.000Z,2,200,3,2,RESOLVED,True,0.002384259259259259
24-cka-ML/quiz-generator,e8dc54c226ca5d21680cbf10b31e2ba35389a911,200,1,27,2025-03-16T12:40:53.000Z,2025-03-20T08:55:47.000Z,6be03b43ad2a3e3acee82eee435955f11e605020,2025-03-16T12:46:42.000Z,2,200,3,1,RESOLVED,True,3.8436805555555558
3atar/Study-assistant,490a69c38dd64c78387fd6f35ebfb0cc522cd732,200,1,4,2025-11-26T02:21:59.000Z,2025-11-26T02:41:40.000Z,1ca40786b0d1e48f68c24021c661cc79f067ed26,2025-11-26T02:27:51.000Z,2,200,3,2,RESOLVED,True,0.013668981481481482
77skaul/edu-tutor-chatbot,d74a6ce328f17ffbe7564bc0a707f57c6972ef8e,200,1,12,2026-02-04T10:26:31.000Z,2026-02-04T11:41:26.000Z,37a849db52ce5cd50479f43662e8fdc320950741,2026-02-04T10:35:42.000Z,2,200,2,0,RESOLVED,True,0.05202546296296296
ABRB0917/StudyAssistant,b737af742bc0a809878b394755d9bc04567798b6,200,1,2,2026-06-18T14:09:00.000Z,2026-06-18T14:14:45.000Z,b737af742bc0a809878b394755d9bc04567798b6,2026-06-18T14:14:45.000Z,2,200,3,2,RESOLVED,True,0.003993055555555555
ARNABMAJI1234/interactive-study-assistant-demo,06cfe85fc9bd4b21d387d82029a3545bc0213429,200,1,2,2026-08-01T14:17:21.000Z,2026-08-01T14:19:36.000Z,06cfe85fc9bd4b21d387d82029a3545bc0213429,2026-08-01T14:19:36.000Z,2,200,3,2,RESOLVED,True,0.0015625
Aasher/Flexx_Your_Homework_Assistant,3fd5d64c8eb1638d95490d9f6c19dda420f27ba5,200,1,9,2025-09-04T15:09:42.000Z,2025-09-05T08:14:16.000Z,a9af6e5d916ca329d606d6b69908548828b88aad,2025-09-04T15:09:42.000Z,1,200,10,0,RESOLVED,True,0.7115046296296297
Abdalaziz2026/Syria-ai-tutor,6f7dee2e21e3c466111ee22c7ff72a393acb675d,200,1,7,2026-06-03T22:24:58.000Z,2026-06-03T23:24:49.000Z,39edbf284bbd050994ec244daa9eba535436c9de,2026-06-03T22:53:07.000Z,2,200,2,1,RESOLVED,True,0.0415625
Abde1ra7man/Quiz_Generator,015f0f9fb8dd60575502411c41ebfabc653635ea,200,1,4,2026-04-23T14:21:51.000Z,2026-04-23T14:28:49.000Z,c116f7b59f55ed1d8120c65b3182561990936957,2026-04-23T14:22:13.000Z,2,200,3,0,RESOLVED,True,0.004837962962962963
