space_id,candidate_type,identifier,source_file
10805j/aitutor,unmapped_manifest_package,altair,requirements.txt
10805j/aitutor,unmapped_manifest_package,matplotlib,requirements.txt
10805j/aitutor,unmapped_manifest_package,pandas,requirements.txt
10805j/aitutor,unmapped_manifest_package,python-dotenv,requirements.txt
10805j/aitutor,unmapped_manifest_package,streamlit,requirements.txt
13yashjadhav11/study_assistant,unmapped_manifest_package,gradio,requirements.txt
24-cka-ML/quiz-generator,unmapped_manifest_package,gradio,requirements.txt
24-cka-ML/quiz-generator,unmapped_manifest_package,llama-index,requirements.txt
24-cka-ML/quiz-generator,unmapped_manifest_package,llama-index-core,requirements.txt
24-cka-ML/quiz-generator,unmapped_manifest_package,llama-index-embeddings-openai,requirements.txt
24-cka-ML/quiz-generator,unmapped_manifest_package,llama-index-llms-openai,requirements.txt
24-cka-ML/quiz-generator,unmapped_manifest_package,llama-index-readers-web,requirements.txt
24-cka-ML/quiz-generator,unmapped_manifest_package,python-dotenv,requirements.txt
24-cka-ML/quiz-generator,unmapped_manifest_package,requests,requirements.txt
3atar/Study-assistant,unmapped_manifest_package,accelerate,requirements.txt
3atar/Study-assistant,unmapped_manifest_package,faiss-cpu,requirements.txt
3atar/Study-assistant,unmapped_manifest_package,gradio,requirements.txt
3atar/Study-assistant,unmapped_manifest_package,langchain,requirements.txt
3atar/Study-assistant,unmapped_manifest_package,pypdf,requirements.txt
3atar/Study-assistant,unmapped_manifest_package,sentence-transformers,requirements.txt
3atar/Study-assistant,unmapped_manifest_package,torch,requirements.txt
77skaul/edu-tutor-chatbot,unmapped_manifest_package,gradio,requirements.txt
77skaul/edu-tutor-chatbot,unmapped_manifest_package,sentencepiece,requirements.txt
77skaul/edu-tutor-chatbot,unmapped_manifest_package,torch,requirements.txt
aakashdevdat/Quiz_generator_1,unmapped_manifest_package,sentencepiece,requirements.txt
aakashdevdat/Quiz_generator_1,unmapped_manifest_package,streamlit,requirements.txt
aakashdevdat/Quiz_generator_1,unmapped_manifest_package,torch,requirements.txt
Aasher/Flexx_Your_Homework_Assistant,unmapped_credential,GOOGLE_API_KEY,services/chat_service.py
Aasher/Flexx_Your_Homework_Assistant,unmapped_manifest_package,chainlit,pyproject.toml
Aasher/Flexx_Your_Homework_Assistant,unmapped_manifest_package,fastapi,pyproject.toml
Aasher/Flexx_Your_Homework_Assistant,unmapped_manifest_package,litellm,pyproject.toml
Aasher/Flexx_Your_Homework_Assistant,unmapped_manifest_package,pillow,pyproject.toml
Aasher/Flexx_Your_Homework_Assistant,unmapped_manifest_package,pydantic-settings,pyproject.toml
Aasher/Flexx_Your_Homework_Assistant,unmapped_manifest_package,uvicorn,pyproject.toml
aazankhanYousafzai/Ai_Study_Assistant,unmapped_manifest_package,gradio,requirements.txt
aazankhanYousafzai/Ai_Study_Assistant,unmapped_manifest_package,pypdf,requirements.txt
abai-cn/linux-teaching-assistant,unmapped_manifest_package,streamlit,requirements.txt
Abde1ra7man/Quiz_Generator,unmapped_manifest_package,fastapi,requirements.txt
Abde1ra7man/Quiz_Generator,unmapped_manifest_package,langchain-core,requirements.txt
Abde1ra7man/Quiz_Generator,unmapped_manifest_package,langchain-groq,requirements.txt
Abde1ra7man/Quiz_Generator,unmapped_manifest_package,pydantic,requirements.txt
Abde1ra7man/Quiz_Generator,unmapped_manifest_package,python-dotenv,requirements.txt
Abde1ra7man/Quiz_Generator,unmapped_manifest_package,typing-extensions,requirements.txt
Abde1ra7man/Quiz_Generator,unmapped_manifest_package,uvicorn,requirements.txt
Abdelrahman04/egyptian-educational-chatbot-demo,unmapped_manifest_package,accelerate,requirements.txt
Abdelrahman04/egyptian-educational-chatbot-demo,unmapped_manifest_package,bitsandbytes,requirements.txt
Abdelrahman04/egyptian-educational-chatbot-demo,unmapped_manifest_package,gradio,requirements.txt
Abdelrahman04/egyptian-educational-chatbot-demo,unmapped_manifest_package,peft,requirements.txt
Abdelrahman04/egyptian-educational-chatbot-demo,unmapped_manifest_package,torch,requirements.txt
Abdelrahman04/egyptian-educational-chatbot-demo,unmapped_manifest_package,unsloth,requirements.txt
abdullahkhankakar/quiz-generator,unmapped_manifest_package,accelerate,requirements.txt
abdullahkhankakar/quiz-generator,unmapped_manifest_package,gradio,requirements.txt
abdullahkhankakar/quiz-generator,unmapped_manifest_package,pypdf,requirements.txt
abdullahkhankakar/quiz-generator,unmapped_manifest_package,requests,requirements.txt
abdullahkhankakar/quiz-generator,unmapped_manifest_package,safetensors,requirements.txt
abdullahkhankakar/quiz-generator,unmapped_manifest_package,torch,requirements.txt
abhey-patel/quiz-generator-space,unmapped_manifest_package,requests,requirements.txt
Abhinaychatla/language_voice_tutor,nonruntime_manifest_package,@eslint/js,package.json
Abhinaychatla/language_voice_tutor,nonruntime_manifest_package,@types/react,package.json
Abhinaychatla/language_voice_tutor,nonruntime_manifest_package,@types/react-dom,package.json
Abhinaychatla/language_voice_tutor,nonruntime_manifest_package,@vitejs/plugin-react,package.json
Abhinaychatla/language_voice_tutor,nonruntime_manifest_package,eslint,package.json
Abhinaychatla/language_voice_tutor,nonruntime_manifest_package,eslint-plugin-react-hooks,package.json
Abhinaychatla/language_voice_tutor,nonruntime_manifest_package,eslint-plugin-react-refresh,package.json
Abhinaychatla/language_voice_tutor,nonruntime_manifest_package,globals,package.json
Abhinaychatla/language_voice_tutor,nonruntime_manifest_package,vite,package.json
Abhinaychatla/language_voice_tutor,unmapped_credential,GOOGLE_API_KEY,.env.example
Abhinaychatla/language_voice_tutor,unmapped_credential,GOOGLE_API_KEY,app.py
Abhinaychatla/language_voice_tutor,unmapped_manifest_package,axios,package.json
Abhinaychatla/language_voice_tutor,unmapped_manifest_package,faiss-cpu,requirements.txt
Abhinaychatla/language_voice_tutor,unmapped_manifest_package,fastapi,requirements.txt
Abhinaychatla/language_voice_tutor,unmapped_manifest_package,langchain,requirements.txt
Abhinaychatla/language_voice_tutor,unmapped_manifest_package,langchain-community,requirements.txt
Abhinaychatla/language_voice_tutor,unmapped_manifest_package,lucide-react,package.json
Abhinaychatla/language_voice_tutor,unmapped_manifest_package,pypdf,requirements.txt
Abhinaychatla/language_voice_tutor,unmapped_manifest_package,python-dotenv,requirements.txt
Abhinaychatla/language_voice_tutor,unmapped_manifest_package,python-multipart,requirements.txt
Abhinaychatla/language_voice_tutor,unmapped_manifest_package,react,package.json
Abhinaychatla/language_voice_tutor,unmapped_manifest_package,react-dom,package.json
Abhinaychatla/language_voice_tutor,unmapped_manifest_package,tiktoken,requirements.txt
Abhinaychatla/language_voice_tutor,unmapped_manifest_package,uvicorn,requirements.txt
AbhiReddy1/AI_datascince_Tutor,unmapped_manifest_package,langchain,requirements.txt
AbhiReddy1/AI_datascince_Tutor,unmapped_manifest_package,langchain-core,requirements.txt
AbhiReddy1/AI_datascince_Tutor,unmapped_manifest_package,langchain-text-splitters,requirements.txt
AbhiReddy1/AI_datascince_Tutor,unmapped_manifest_package,protobuf,requirements.txt
AbhiReddy1/AI_datascince_Tutor,unmapped_manifest_package,python-dotenv,requirements.txt
AbhiReddy1/AI_datascince_Tutor,unmapped_manifest_package,requests,requirements.txt
AbhiReddy1/AI_datascince_Tutor,unmapped_manifest_package,requests-toolbelt,requirements.txt
AbhiReddy1/AI_datascince_Tutor,unmapped_manifest_package,streamlit,requirements.txt
ABRB0917/StudyAssistant,unmapped_manifest_package,gradio,requirements.txt
abubakaraabi786/programming-tutor-chatbot,unmapped_manifest_package,gradio,requirements.txt
abubakaraabi786/programming-tutor-chatbot,unmapped_manifest_package,python-dotenv,requirements.txt
abubakaraabi786/programming-tutor-chatbot,unmapped_manifest_package,requests,requirements.txt
Achyutar/Engross-Educational-AI,unmapped_api_domain,huggingface.co,app.py
Achyutar/Engross-Educational-AI,unmapped_api_domain,www.gradio.app,app.py
adil1598/edubot-ai-latex-learning-companion,unmapped_api_domain,api.edubot-ai.com,api-docs.html
Aditya1546/ai-study-assistant,unmapped_manifest_package,chromadb,requirements.txt
Aditya1546/ai-study-assistant,unmapped_manifest_package,pypdf,requirements.txt
Aditya1546/ai-study-assistant,unmapped_manifest_package,python-dotenv,requirements.txt
Aditya1546/ai-study-assistant,unmapped_manifest_package,streamlit,requirements.txt
AdityaKokate/StudyAssistant,unmapped_manifest_package,gradio,requirements.txt
adriiita/TeachingAssistant,unmapped_manifest_package,gradio,requirements.txt
adriiita/TeachingAssistant,unmapped_manifest_package,langchain,requirements.txt
adriiita/TeachingAssistant,unmapped_manifest_package,langchain-community,requirements.txt
adriiita/TeachingAssistant,unmapped_manifest_package,langchain-groq,requirements.txt
adriiita/TeachingAssistant,unmapped_manifest_package,openai-whisper,requirements.txt
adriiita/TeachingAssistant,unmapped_manifest_package,pypdf2,requirements.txt
adriiita/TeachingAssistant,unmapped_manifest_package,python-docx,requirements.txt
adriiita/TeachingAssistant,unmapped_manifest_package,python-dotenv,requirements.txt
adriiita/TeachingAssistant,unmapped_manifest_package,python-multipart,requirements.txt
adriiita/TeachingAssistant,unmapped_manifest_package,pytube,requirements.txt
adriiita/TeachingAssistant,unmapped_manifest_package,tiktoken,requirements.txt
adriiita/TeachingAssistant,unmapped_manifest_package,unstructured,requirements.txt
adriiita/TeachingAssistant,unmapped_manifest_package,uvicorn,requirements.txt
adriiita/TeachingAssistant,unmapped_manifest_package,youtube-transcript-api,requirements.txt
Agents-MCP-Hackathon/AI-Quiz-Generator,unmapped_api_domain,api.perplexity.ai,app.py
Agents-MCP-Hackathon/AI-Quiz-Generator,unmapped_manifest_package,gradio,requirements.txt
Agents-MCP-Hackathon/AI-Quiz-Generator,unmapped_manifest_package,pymupdf,requirements.txt
Agents-MCP-Hackathon/AI-Quiz-Generator,unmapped_manifest_package,python-docx,requirements.txt
Agents-MCP-Hackathon/AI-Tutor-and-Syllabus-Planner,unmapped_credential,GOOGLE_API_KEY,config.py
Agents-MCP-Hackathon/AI-Tutor-and-Syllabus-Planner,unmapped_manifest_package,dspy-ai,requirements.txt
Agents-MCP-Hackathon/AI-Tutor-and-Syllabus-Planner,unmapped_manifest_package,gradio,requirements.txt
Agents-MCP-Hackathon/AI-Tutor-and-Syllabus-Planner,unmapped_manifest_package,litellm,requirements.txt
Agents-MCP-Hackathon/AI-Tutor-and-Syllabus-Planner,unmapped_manifest_package,pypdf2,requirements.txt
Agents-MCP-Hackathon/AI-Tutor-and-Syllabus-Planner,unmapped_manifest_package,python-docx,requirements.txt
Agents-MCP-Hackathon/AI-Tutor-and-Syllabus-Planner,unmapped_manifest_package,python-dotenv,requirements.txt
Agents-MCP-Hackathon/AI-Tutor-and-Syllabus-Planner,unmapped_manifest_package,torch,requirements.txt
Agents-MCP-Hackathon/AI_tutor,unmapped_manifest_package,chromadb,requirements.txt
Agents-MCP-Hackathon/AI_tutor,unmapped_manifest_package,fastapi,requirements.txt
Agents-MCP-Hackathon/AI_tutor,unmapped_manifest_package,gradio,requirements.txt
Agents-MCP-Hackathon/AI_tutor,unmapped_manifest_package,langgraph,requirements.txt
Agents-MCP-Hackathon/AI_tutor,unmapped_manifest_package,numpy,requirements.txt
Agents-MCP-Hackathon/AI_tutor,unmapped_manifest_package,pdfplumber,requirements.txt
Agents-MCP-Hackathon/AI_tutor,unmapped_manifest_package,psutil,requirements.txt
Agents-MCP-Hackathon/AI_tutor,unmapped_manifest_package,pydantic,requirements.txt
Agents-MCP-Hackathon/AI_tutor,unmapped_manifest_package,pypdf2,requirements.txt
Agents-MCP-Hackathon/AI_tutor,unmapped_manifest_package,python-dotenv,requirements.txt
Agents-MCP-Hackathon/AI_tutor,unmapped_manifest_package,reportlab,requirements.txt
Agents-MCP-Hackathon/AI_tutor,unmapped_manifest_package,typing-extensions,requirements.txt
Agents-MCP-Hackathon/AI_tutor,unmapped_manifest_package,uvicorn,requirements.txt
ajmalllllllll/loksewaai-pal-your-study-buddy-assistant,unmapped_api_domain,www.googleapis.com,main.js
ajmalllllllll/loksewaai-pal-your-study-buddy-assistant,unmapped_credential,GOOGLE_API_KEY,main.js
ajmalllllllll/loksewaai-pal-your-study-buddy-assistant,unmapped_credential,YOUR_GOOGLE_API_KEY,main.js
Akash035/my_study_assistant,unmapped_manifest_package,gradio,requirements.txt
akhileshjethi/Study-assistant-ai,unmapped_manifest_package,gradio,requirements.txt
akhileshjethi/Study-assistant-ai,unmapped_manifest_package,pymupdf,requirements.txt
akhileshjethi/Study-assistant-ai,unmapped_manifest_package,torch,requirements.txt
akshay0149/TeachingAssistant,unmapped_manifest_package,gradio,requirements.txt
Aleesha29/socratic_tutor,unmapped_manifest_package,faiss-cpu,requirements.txt
Aleesha29/socratic_tutor,unmapped_manifest_package,pymupdf,requirements.txt
Aleesha29/socratic_tutor,unmapped_manifest_package,sentence-transformers,requirements.txt
alusinebarrie/ai-teaching-assistant,unmapped_api_domain,huggingface.co,app.py
alusinebarrie/ai-teaching-assistant,unmapped_api_domain,www.gradio.app,app.py
alusinebarrie/your-ai-teaching-assistant,unmapped_manifest_package,tensorflow,requirements.txt
alusinebarrie/your-ai-teaching-assistant,unmapped_manifest_package,torch,requirements.txt
aman7935/Quiz_generator,unmapped_api_domain,www.gradio.app,app.py
Amandeep01/Quiz_Generator,unmapped_manifest_package,gradio,requirements.txt
Anand000114/ai-virtual-teaching-assistant,unmapped_manifest_package,numpy,requirements.txt
Anand000114/ai-virtual-teaching-assistant,unmapped_manifest_package,pandas,requirements.txt
Anand000114/ai-virtual-teaching-assistant,unmapped_manifest_package,scikit-learn,requirements.txt
Anand000114/ai-virtual-teaching-assistant,unmapped_manifest_package,streamlit,requirements.txt
AneelaFatima/AI_Friendly_Study_Tutor,unmapped_manifest_package,gradio,requirements.txt
AneelaFatima/AI_Friendly_Study_Tutor,unmapped_manifest_package,requests,requirements.txt
Anil3920/StudyAssistant,unmapped_manifest_package,gradio,requirements.txt
Anilkumar12/StudyAssistant,unmapped_manifest_package,gradio,requirements.txt
anir-1995/AI_Quiz_Generator,unmapped_manifest_package,beautifulsoup4,requirements.txt
anir-1995/AI_Quiz_Generator,unmapped_manifest_package,pymupdf,requirements.txt
anir-1995/AI_Quiz_Generator,unmapped_manifest_package,requests,requirements.txt
anir-1995/AI_Quiz_Generator,unmapped_manifest_package,streamlit,requirements.txt
AnishaG0201/maths_quiz_generator,unmapped_credential,GOOGLE_API_KEY,function.py
AnishaG0201/maths_quiz_generator,unmapped_manifest_package,langchain-community,requirements.txt
AnishaG0201/maths_quiz_generator,unmapped_manifest_package,requests,requirements.txt
AnishaG0201/maths_quiz_generator,unmapped_manifest_package,streamlit,requirements.txt
ankittumu/Ace-Study-Assistant,unmapped_manifest_package,chromadb,requirements.txt
ankittumu/Ace-Study-Assistant,unmapped_manifest_package,langchain,requirements.txt
ankittumu/Ace-Study-Assistant,unmapped_manifest_package,langchain-community,requirements.txt
ankittumu/Ace-Study-Assistant,unmapped_manifest_package,langchain-ollama,requirements.txt
ankittumu/Ace-Study-Assistant,unmapped_manifest_package,pypdf,requirements.txt
